,Strategy,Dataset,n_instances,l_attributes,k_neighbours,fit_time,accuracy,f1_macro,f1_micro
8,Randomised search,D6,150,6,3,0.002673943837483724,0.7933333333333333,0.7873946669817637,0.7933333333333333
9,Randomised search,D6,150,6,11,0.0013367335001627605,0.7933333333333333,0.7873946669817637,0.7933333333333333
10,Randomised search,D6,150,6,9,0.001337130864461263,0.7933333333333333,0.7873946669817637,0.7933333333333333
11,Randomised search,D6,150,6,7,0.0016709963480631511,0.7933333333333333,0.7873946669817637,0.7933333333333333
12,Randomised search,D6,150,6,6,0.0010020732879638672,0.7866666666666666,0.7798004372888094,0.7866666666666666
13,Randomised search,D6,150,6,1,0.002005497614542643,0.7933333333333333,0.7873946669817637,0.7933333333333333
14,Randomised search,D6,150,6,1,0.0013365745544433594,0.7933333333333333,0.7873946669817637,0.7933333333333333
15,Randomised search,D6,150,6,11,0.0010026295979817708,0.7933333333333333,0.7873946669817637,0.7933333333333333
16,Randomised search,D6,150,6,2,0.0010025501251220703,0.7866666666666666,0.7798004372888094,0.7866666666666666
17,Randomised search,D6,150,6,6,0.0016714731852213542,0.7866666666666666,0.7798004372888094,0.7866666666666666
18,Randomised search,D6,150,6,6,0.0016707579294840496,0.7866666666666666,0.7798004372888094,0.7866666666666666
19,Randomised search,D6,150,6,10,0.001336971918741862,0.7866666666666666,0.7798004372888094,0.7866666666666666
20,Randomised search,D6,150,6,9,0.0010027885437011719,0.7933333333333333,0.7873946669817637,0.7933333333333333
21,Randomised search,D6,150,6,9,0.0010031064351399739,0.7933333333333333,0.7873946669817637,0.7933333333333333
22,Randomised search,D6,150,6,5,0.0016712347666422527,0.7933333333333333,0.7873946669817637,0.7933333333333333
23,Randomised search,D6,150,6,12,0.0013362566630045574,0.7866666666666666,0.7798004372888094,0.7866666666666666
24,Randomised search,D6,150,6,8,0.0010027090708414714,0.7866666666666666,0.7798004372888094,0.7866666666666666
0,Randomised search,D7,12960,29,107,0.35494287808736164,0.1506172839506173,0.07248024240538761,0.1506172839506173
1,Randomised search,D7,12960,29,1,0.3566138744354248,0.11388888888888889,0.05226488035972045,0.11388888888888889
2,Randomised search,D7,12960,29,15,0.330544392267863,0.12322530864197531,0.05658052301136019,0.12322530864197531
3,Randomised search,D7,12960,29,27,0.30347299575805664,0.12955246913580246,0.060748717383129036,0.12955246913580246
4,Randomised search,D7,12960,29,32,0.2987940311431885,0.13016975308641976,0.06147601490418513,0.13016975308641976
5,Randomised search,D7,12960,29,92,0.31383419036865234,0.14868827160493828,0.0715880896545601,0.14868827160493828
6,Randomised search,D7,12960,29,68,0.2977911631266276,0.13989197530864197,0.06627921296220578,0.13989197530864197
7,Randomised search,D7,12960,29,56,0.28943634033203125,0.13796296296296295,0.06536521005411618,0.13796296296296295
8,Randomised search,D7,12960,29,101,0.3011331558227539,0.15,0.07220563416037445,0.15
9,Randomised search,D7,12960,29,31,0.2981252670288086,0.12986111111111112,0.060209995214239746,0.12986111111111112
10,Randomised search,D7,12960,29,62,0.2914408842722575,0.1396604938271605,0.06609133065209098,0.1396604938271605
11,Randomised search,D7,12960,29,99,0.30280470848083496,0.14976851851851852,0.07207692526244676,0.14976851851851852
12,Randomised search,D7,12960,29,74,0.3044761021931966,0.14066358024691358,0.06672253026047716,0.14066358024691358
13,Randomised search,D7,12960,29,110,0.29378072420756024,0.1511574074074074,0.07271902036870856,0.1511574074074074
14,Randomised search,D7,12960,29,48,0.29678893089294434,0.13703703703703704,0.06485909087032077,0.13703703703703704
15,Randomised search,D7,12960,29,19,0.3124971389770508,0.12723765432098766,0.05938282126197399,0.12723765432098766
16,Randomised search,D7,12960,29,85,0.3803443908691406,0.1472993827160494,0.07076408243299134,0.1472993827160494
17,Randomised search,D7,12960,29,36,0.4565466245015462,0.13279320987654322,0.062089703055382646,0.13279320987654322
18,Randomised search,D7,12960,29,71,0.3124971389770508,0.14035493827160495,0.0665275468302177,0.14035493827160495
19,Randomised search,D7,12960,29,44,0.3241969744364421,0.13665123456790124,0.06463741665167116,0.13665123456790124
20,Randomised search,D7,12960,29,100,0.30781833330790204,0.15,0.07235508609477243,0.15
21,Randomised search,D7,12960,29,2,0.3188475767771403,0.11342592592592593,0.053364106980505165,0.11342592592592593
22,Randomised search,D7,12960,29,67,0.31316479047139484,0.1396604938271605,0.06607532828639161,0.1396604938271605
23,Randomised search,D7,12960,29,12,0.32686901092529297,0.12353395061728395,0.05670240137875557,0.12353395061728395
24,Randomised search,D7,12960,29,77,0.30280478795369464,0.1429783950617284,0.06821139244271963,0.1429783950617284
0,Randomised search,D8,2533,74,25,0.01938486099243164,0.5353335965258587,0.3354109686144121,0.5353335965258587
1,Randomised search,D8,2533,74,21,0.021390438079833984,0.5155941571259376,0.32589064497633363,0.5155941571259376
2,Randomised search,D8,2533,74,9,0.0173795223236084,0.4472956968022108,0.2826964156524225,0.4472956968022108
3,Randomised search,D8,2533,74,34,0.027406056722005207,0.8282668772206869,0.448913706942912,0.8282668772206869
4,Randomised search,D8,2533,74,39,0.022058725357055664,0.8484011054086064,0.4563877218105849,0.8484011054086064
5,Randomised search,D8,2533,74,45,0.017713546752929688,0.8527437820765891,0.45792947827649033,0.8527437820765891
6,Randomised search,D8,2533,74,34,0.018047650655110676,0.8282668772206869,0.448913706942912,0.8282668772206869
7,Randomised search,D8,2533,74,36,0.018048206965128582,0.8349782866166601,0.45146655975779615,0.8349782866166601
8,Randomised search,D8,2533,74,6,0.016710917154947918,0.4378207658902487,0.27620881006246445,0.4378207658902487
9,Randomised search,D8,2533,74,45,0.024732271830240887,0.8527437820765891,0.45792947827649033,0.8527437820765891
10,Randomised search,D8,2533,74,13,0.01771370569864909,0.46506119226213977,0.2955251689114275,0.46506119226213977
11,Randomised search,D8,2533,74,30,0.018382151921590168,0.822739834188709,0.44856278671887295,0.822739834188709
12,Randomised search,D8,2533,74,47,0.022392988204956055,0.8594551914725622,0.4602658300578834,0.8594551914725622
13,Randomised search,D8,2533,74,19,0.020721435546875,0.5144097907619424,0.32526719070636884,0.5144097907619424
14,Randomised search,D8,2533,74,26,0.019384304682413738,0.536517962889854,0.3359875154060594,0.536517962889854
15,Randomised search,D8,2533,74,18,0.016710758209228516,0.5148045795499407,0.3254753167933769,0.5148045795499407
16,Randomised search,D8,2533,74,2,0.017379601796468098,0.40465850769838135,0.24292640052867653,0.40465850769838135
17,Randomised search,D8,2533,74,10,0.01838207244873047,0.4654559810501382,0.29588476255846696,0.4654559810501382
18,Randomised search,D8,2533,74,50,0.017379363377888996,0.9368337939202527,0.4836933989622058,0.9368337939202527
19,Randomised search,D8,2533,74,40,0.0207215150197347,0.8511646269245954,0.45737160717163255,0.8511646269245954
20,Randomised search,D8,2533,74,42,0.017045259475708008,0.8507698381365969,0.4572316472720018,0.8507698381365969
21,Randomised search,D8,2533,74,24,0.016711076100667317,0.5357283853138571,0.33560340198995425,0.5357283853138571
22,Randomised search,D8,2533,74,6,0.01871641476949056,0.4378207658902487,0.27620881006246445,0.4378207658902487
23,Randomised search,D8,2533,74,47,0.017044862111409504,0.8594551914725622,0.4602658300578834,0.8594551914725622
24,Randomised search,D8,2533,74,43,0.01704518000284831,0.8503750493485985,0.4570914896888969,0.8503750493485985
0,Randomised search,D9,958,29,8,0.002338886260986328,0.8329853862212944,0.8159184084173402,0.8329853862212944
1,Randomised search,D9,958,29,29,0.003008127212524414,0.8340292275574113,0.8169767234047277,0.8340292275574113
2,Randomised search,D9,958,29,15,0.0043447017669677734,0.8329853862212944,0.8153278765782956,0.8329853862212944
3,Randomised search,D9,958,29,21,0.0030078887939453125,0.8329853862212944,0.8153278765782956,0.8329853862212944
4,Randomised search,D9,958,29,20,0.0030082066853841147,0.8329853862212944,0.8159184084173402,0.8329853862212944
5,Randomised search,D9,958,29,30,0.003007650375366211,0.8329853862212944,0.8159184084173402,0.8329853862212944
6,Randomised search,D9,958,29,12,0.0036766529083251953,0.8329853862212944,0.8159184084173402,0.8329853862212944
7,Randomised search,D9,958,29,16,0.006349722544352214,0.8340292275574113,0.8169767234047277,0.8340292275574113
